rec_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,day,month,year,given_name_soundex,given_name_nysiis,surname_soundex,surname_nysiis,match_id
rec-2813-org,georgia,rees,40,maclaurin crescent,spring creek,fullarton,6233,nsw,05,03,1921,G620,GARG,R200,R,2813
rec-1362-org,,collinson,8,parrabel place,fraser lodge,elwood,2420,vic,19,08,1910,,,C452,CALANSAN,1362
rec-2011-org,ruby,grobler,128,lonsdale street,tallinga park,newbridge,2105,qld,04,01,1919,R100,RABY,G614,GRABLAR,2011
rec-4825-org,lara,dunis,7,rodda place,dry rush,casino,4170,nsw,28,09,1958,L600,LAR,D520,DAN,4825
rec-1483-org,zachariah,steed,24,hamelin crescent,surfers hawaiian,preston beach,4214,nsw,02,05,1930,Z260,ZACAR,S330,STAD,1483
rec-3075-org,william,vanderwesten,11,william wilkins crescent,wyuna,grenfell,5290,nsw,01,08,1950,W450,WALAN,V536,VANDARWASTAN,3075
rec-2010-org,layla,donaldson,71,mannheim street,sandalford homestead,urangan,2713,wa,08,06,1932,L400,LAYL,D543,DANALDSAN,2010
rec-4548-org,samantha,chandler,183,macnamara place,st johnof god hospital,greenwith,2047,wa,01,12,1901,S553,SANANT,C534,CANDLAR,4548
rec-1996-org,alexander,jeffries,45,keartland street,,northbridge,3043,vic,08,04,1977,A425,ALAXANDAR,J162,JAFR,1996
rec-1373-org,talyah,mccarthy,8,carter crescent,eldamead,springwood,2170,nsw,13,09,1921,T400,TALY,M263,MCARTY,1373
rec-3232-org,isabelle,hope,140,ellenborough street,grimes paddock cotge,murray bridge,6152,qld,22,05,1948,I214,ISABAL,H100,HAP,3232
rec-1007-org,breana,thorpe,54,weipa place,kimberley,san remo,4660,qld,17,01,1966,B650,BRAN,T610,TARP,1007
rec-3540-org,jordyn,bishop,18,jalanga crescent,salt box,yankalilla,2780,wa,28,04,1948,J635,JARDYN,B210,BASAP,3540
rec-4964-org,connor,lungershausen,28,hilder street,morayfield exchange,redbank plains,4350,nsw,08,10,1943,C560,CANAR,L526,LANGARSASAN,4964
rec-871-org,benjamin,limbert,201,blackman crescent,karinyah,woodbine,2228,nsw,29,04,1902,B525,BANJANAN,L516,LANBAD,871
rec-4352-org,julia,webb,86,english court,benachie,south grafton,4740,nsw,25,02,1970,J400,JAL,W100,WAB,4352
rec-3036-org,robert,sheldon,37,baume crescent,springdale,cowra,4650,vic,18,11,1930,R163,RABAD,S435,SALDAN,3036
rec-902-org,angus,chandler,20,archibald street,,eight mile plains,6150,qld,14,12,1953,A522,ANG,C534,CANDLAR,902
rec-842-org,talia,wotton,211,burn street,gillin park,seymour,812,nsw,19,11,1978,T400,TAL,W350,WATAN,842
rec-899-org,robert,gibb,2,mckeahnie street,spring creek,frankston,2450,wa,18,06,1944,R163,RABAD,G100,GAB,899
rec-655-org,keeley,heron,60,krichauff street,,bonnyrigg,3021,nsw,30,12,1919,K400,CALY,H650,HARAN,655
rec-2032-org,madeleine,noack,44,forbes street,woodsong,coombabah,7320,,30,08,1949,M345,MADALAN,N200,NAC,2032
rec-2547-org,joshua,sherriff,159,cosgrove street,sun city resort,bligh park,2035,qld,,,,J200,JAS,S610,SARAF,2547
rec-3985-org,nicole,daykin,3,hannan crescent,cooroora,gwynneville,2318,qld,15,05,1912,N240,NACAL,D250,DAYCAN,3985
rec-2461-org,angus,godfrey,1,lamington street,ulc 4,pannawonica,5607,vic,30,09,1905,A522,ANG,G316,GADFRY,2461
rec-1834-org,adam,tiller,13,westfield shoppingtown (next to medicare,sec 161,page,3128,vic,19,04,1941,A350,ADAN,T460,TALAR,1834
rec-1602-org,sophie,blackwell,34,nott street,jorobe,lansvale,6149,nsw,28,11,1950,S100,SAFY,B424,BLACWAL,1602
rec-1165-org,aleesha,mahmud,101,mcculloch street,saraji mine,ulverstone,6064,nsw,,,,A420,ALAS,M530,MANAD,1165
rec-4553-org,ryan,lindholm,41,coolibah crescent,acadia,kingston,3116,vic,22,02,1911,R500,RYAN,L534,LANDALN,4553
rec-61-org,matthew,sincovich,95,grylls crescent,,barrack heights,4221,nsw,31,07,1960,M300,MATAE,S521,SANCAVAC,61
rec-93-org,charlotte,bristow,22,mockridge crescent,nioka,harbord,5086,nsw,12,11,1935,C643,CARLAT,B623,BRASTAO,93
rec-1394-org,caleb,miotto,6,besant street,shadell,bayswater,3033,sa,29,07,1961,C410,CALAB,M300,MAT,1394
rec-515-org,ruby,bellchambers,298,winnecke street,siesta caravn park,mosman,2330,tas,25,03,1914,R100,RABY,B425,BALCANBAR,515
rec-4904-org,giaan,blake,7,slessor crescent,ferndale,dapto,2171,qld,15,08,1993,G500,GAN,B420,BLAC,4904
rec-2103-org,jamie,hoffman,592,dalrymple street,carrangarra,vaucluse,4356,nsw,,,,J500,JANY,H155,HAFNAN,2103
rec-3186-org,jamie,lando,38,dominion circuit,brundah property,southbank,2800,sa,14,03,1951,J500,JANY,L530,LAND,3186
rec-4096-org,stella,plumb,11,leist street,emerald banks,burnie,3152,wa,27,02,1902,S340,STAL,P451,PLANB,4096
rec-488-org,michael,seib,107,spain place,heritage est,carine,3802,tas,14,09,1952,M240,MACAL,S100,SAB,488
rec-4846-org,billy,hawes,50,ella close,executive arcade,mosman,5461,vic,24,05,1911,B400,BALY,H200,H,4846
rec-3463-org,,webb,15,honyong crescent,wurtulla shopping vlge,narooma,4114,qld,07,02,1943,,,W100,WAB,3463
rec-2276-org,samuel,neville,6,fitzmaurice street,karkatt,gilmore,2517,wa,05,10,1959,S540,SANAL,N140,NAFAL,2276
rec-4934-org,charlie,roles,12,clare place,taskers village,hayborough,2550,nsw,04,06,1962,C640,CARLY,R420,RAL,4934
rec-796-org,louise,heenan,0,,fernlea,lakes entrance,5120,wa,21,06,1986,L200,LAS,H550,HANAN,796
rec-3940-org,tahlia,lowe,0,clear street,millwood,stanwell park,2452,nsw,18,02,1915,T400,TAL,L000,LAO,3940
rec-474-org,pino,snelling,82,fitzalan street,torrington,avondale heights,2170,nsw,15,04,1938,P500,PAN,S545,SNALANG,474
rec-781-org,jesse,jukic,174,dirrawan garden,cranbrook,coconut grove,2206,nsw,21,11,1941,J200,JAS,J220,JACAC,781
rec-4571-org,emma,reid,20,jondol place,cooladie,blackheath,2034,qld,04,09,1962,E500,EN,R300,RAD,4571
rec-690-org,edward,dent,28,shipard place,glenview,picton,4020,vic,10,02,1948,E363,EDWAD,D530,DAD,690
rec-2894-org,kate,dent,42,morrison street,lyndale park,williamstown,2067,vic,18,08,1904,K300,CAT,D530,DAD,2894
rec-2501-org,emiily,reid,788,tullaroop street,padgee,cooloongup,2640,nsw,19,05,1903,E540,ENALY,R300,RAD,2501
rec-1647-org,nathan,sieber,21,spowers circuit,white patch,findon,2430,,27,11,1968,N350,NATAN,S160,SABAR,1647
rec-3932-org,jared,meaney,2,northbourne avenue,york house,mitcham,3141,qld,10,12,1943,J630,JARAD,M500,MANY,3932
rec-1519-org,pia,maczkowiack,52,kalgoorlie crescent,ambervale,,3002,vic,,,,P000,P,M220,MCSCAOAC,1519
rec-2017-org,jordan,george,114,rapanea street,peechabella,maryborough,4123,vic,20,10,1995,J635,JARDAN,G620,GARG,2017
rec-209-org,eliza,zimmermann,15,sydney avenue,bass highway,booval,4701,nsw,06,05,1948,E420,ELAS,Z565,ZANARNAN,209
rec-4197-org,talan,stubbs,21,augustus way,ashell,croydon north,3032,wa,22,10,1922,T450,TALAN,S312,STAB,4197
rec-312-org,sarah,green,9,mceachern crescent,watchorns hill,southbank,3163,qld,29,05,1955,S600,SAR,G650,GRAN,312
rec-4505-org,grace,carbone,37,longstaff street,gleneira,seymour,6233,vic,12,02,1938,G620,GRAC,C615,CARBAN,4505
rec-4906-org,cameron,walls,7,carruthers street,flt 2a,tucabia,2036,nsw,05,10,1946,C565,CANARAN,W420,WAL,4906
rec-788-org,tommy,matthews,23,quiros street,lift,north ryde,2229,wa,24,12,1905,T500,TANY,M320,MATAE,788
rec-4130-org,sophie,mason,20,johnson place,mt providence hostel,hope valley,6056,wa,07,05,1958,S100,SAFY,M250,MASAN,4130
rec-2652-org,renai,byers,31,goyder street,rivonia,yankalilla,6722,vic,05,08,1976,R500,RAN,B620,BYAR,2652
rec-1463-org,hayden,marinos,10,chirnside circuit,allensleigh,success,6560,vic,13,06,1972,H350,HAYDAN,M652,MARAN,1463
rec-1517-org,ruby,reid,6,tanumbirini street,templemore,bundaberg,3134,qld,17,05,1949,R100,RABY,R300,RAD,1517
rec-3291-org,zachary,thorpe,101,o'shanassy street,northwest medical centre,cobains,5242,nsw,12,07,1934,Z260,ZACARY,T610,TARP,3291
rec-682-org,kane,ahier,47,farncomb place,glenhurst,,3083,qld,04,11,1903,K500,CAN,A600,AHAR,682
rec-2304-org,daniel,warusevitane,123,mccaughey street,lemnos,lismore,3023,vic,18,09,1999,D540,DANAL,W621,WARASAFATAN,2304
rec-738-org,charles,hurkett,36,pocket avenue,craigview grove,rowville,3223,nsw,22,12,1984,C642,CARL,H623,HARCAT,738
rec-666-org,thomas,matthews,144,medworth crescent,,booval,4502,nt,19,02,1963,T520,TAN,M320,MATAE,666
rec-110-org,amber,coleman,13,lennard street,barnawartha,bourke,4163,vic,25,06,1996,A516,ANBAR,C455,CALANAN,110
rec-881-org,talia,berry,24,nemarang crescent,,nollamara,3707,vic,13,07,1969,T400,TAL,B600,BARY,881
rec-3226-org,harley,matthews,32,badimara street,munmurra park,kinross,6051,qld,15,02,1982,H640,HARLY,M320,MATAE,3226
rec-1146-org,amy,jessup,27,,sect 12,gawler east,2824,vic,07,10,1946,A500,ANY,J210,JASAP,1146
rec-448-org,scott,lodge,2,haynes place,glenfine station,flagstaff hill,6060,vic,12,10,1965,S300,SCAT,L320,LADG,448
rec-4433-org,lily,matthews,57,captain cook crescent,,matraville,2774,vic,08,07,1942,L400,LALY,M320,MATAE,4433
rec-1750-org,ethan,paine,111,galloway street,hvd cottage,largs,4680,vic,29,03,1919,E350,ETAN,P500,PAN,1750
rec-3528-org,lauren,gibb,35,tenison-woods circuit,the gums,adamstown heights,6333,nsw,30,04,1909,L650,LARAN,G100,GAB,3528
rec-1743-org,riley,landow,43,hannaford street,wattle tree,marayong,6025,vic,31,10,1997,R400,RALY,L530,LANDAO,1743
rec-3078-org,abbey,matthews,12,de graaff street,denture clnc,woy woy,2902,qld,06,08,1985,A100,ABY,M320,MATAE,3078
rec-320-org,harrison,capurso,7,erldunda circuit,bellbird ctge,jan juc,6233,vic,,,,H625,HARASAN,C162,CAPARS,320
rec-2201-org,danielle,nygaard,1,battersby circuit,iron shoe lodge,burwood,5271,nsw,14,04,1935,D540,DANAL,N263,NYGAD,2201
rec-1545-org,sarah,grosvenor,190,moyes crescent,hillcourt,ballarat,6155,nsw,,,,S600,SAR,G621,GRASVANAR,1545
rec-4689-org,gus,stanley,244,,markool,williamstown,5259,vic,24,04,1938,G200,G,S354,STANLY,4689
rec-4762-org,kiana,dixon,53,dugdale street,tremearne,ringwood north,2260,nsw,29,02,1912,K500,CAN,D250,DAXAN,4762
rec-2436-org,mitchell,mason,5,hurtle avenue,lucerne park,telangatuk,4812,qld,17,08,1913,M324,MATCAL,M250,MASAN,2436
rec-1080-org,emiily,beams,11,bissenberger crescent,karobean,wombat,4703,tas,,,,E540,ENALY,B520,BAN,1080
rec-3867-org,ethan,miell,0,barwell place,oreel,ashfield,3941,sa,25,07,1983,E350,ETAN,M400,MAL,3867
rec-3774-org,noah,clarke,608,bindel street,anstee court,boggabri,5158,nsw,20,09,1954,N000,N,C462,CLARC,3774
rec-3143-org,kobe,jolly,26,alroy circuit,salmaldo caravan park,kyabram,6317,sa,13,12,1984,K100,CAB,J400,JALY,3143
rec-2479-org,harvey,dunstone,23,merrett garden,guest hse,macedon,2097,nsw,06,01,1915,H610,HARVY,D523,DANSTAN,2479
rec-2725-org,dillon,lowe,31,faithfull circuit,mlc centre,colac,2088,nsw,16,11,1996,D450,DALAN,L000,LAO,2725
rec-1066-org,sarah,campbell,9,clavert place,merricroft,mount eliza,5280,qld,02,03,1941,S600,SAR,C514,CANPBAL,1066
rec-3502-org,,farrimond,57,tank street,hilltop hostel rowethorpe,modbury,2650,qld,11,11,1906,,,F655,FARANAD,3502
rec-3715-org,jessica,dixon,161,fred johns crescent,the swamp,roxburgh park,3556,qld,13,11,1928,J220,JASAC,D250,DAXAN,3715
rec-4574-org,cooper,blake,90,packham place,australia fair medical west centre,surfers paradise,2747,vic,07,03,1910,C160,CAPAR,B420,BLAC,4574
rec-1656-org,pino,matthews,65,blamey crescent,wilderness,hexham,5253,vic,17,07,1901,P500,PAN,M320,MATAE,1656
rec-207-org,isabelle,huxley,42,rosenthal street,antigua,hocking,3825,qld,20,09,1982,I214,ISABAL,H240,HAXLY,207
rec-1619-org,jesse,herbert,16,popplewell place,summer hill,toowoomba,3810,qld,21,10,1998,J200,JAS,H616,HARBAD,1619
rec-198-org,isabella,spicer,19,lumeah street,lochinvah,boyne island,2780,wa,04,04,1913,I214,ISABAL,S126,SPACAR,198
rec-3889-org,bridget,bordin,27,froggatt street,villa 3,nhill,2016,sa,13,08,1929,B632,BRADGAT,B635,BARDAN,3889
rec-1966-org,ruby,matthews,15,chauncy crescent,kildrummie,armidale,3616,sa,24,08,1906,R100,RABY,M320,MATAE,1966
rec-318-org,kiria,grossman,41,maribyrnong avenue,greta main,buninyong,3163,sa,18,05,1918,K600,CAR,G625,GRASNAN,318
rec-2678-org,cooper,hammer,20,eggleston crescent,,bunbury,4703,qld,10,09,1968,C160,CAPAR,H560,HANAR,2678
rec-2557-org,annabelle,couzens,27,mcluckie crescent,earle haven retirement village,,870,vic,08,05,1926,A514,ANABAL,C252,CASAN,2557
rec-413-org,samuel,eglinton,17,tanumbirini street,birks harbour,raymond terrace,2176,vic,27,09,1969,S540,SANAL,E245,EGLANTAN,413
rec-1075-org,georgia,simmonds,16,hurley street,iowanna,mittagong,2100,nsw,13,04,1923,G620,GARG,S553,SANAND,1075
rec-1843-org,ethan,hipkiss,7,lempriere crescent,spring creek,woolgoolga,3199,qld,12,09,1950,E350,ETAN,H122,HAPC,1843
rec-2390-org,jacob,white,11,wilga place,yarramine park,wallabadah,4061,nsw,15,05,1976,J210,JACAB,W300,WAT,2390
rec-4152-org,lachlan,rawlings,49,lochleigh,whispering pines,coonamble,2019,nsw,22,10,1926,L245,LACLAN,R452,RALANG,4152
rec-1628-org,,clarke,0,edkins street,conmurra,robina,2162,nsw,20,05,1936,,,C462,CLARC,1628
rec-556-org,giorgia,ditty,10,williams street,rawdon hill,tarnagulla,2404,vic,02,11,1917,G620,GARG,D300,DATY,556
rec-1631-org,matisse,geissmann,10,bootle place,,yarramalong,5607,nsw,12,02,1908,M320,MATAS,G255,GASNAN,1631
rec-1768-org,caleb,deakin,61,clem hill street,rowethorpe,craigmore,4285,nsw,28,04,1993,C410,CALAB,D250,DACAN,1768
rec-498-org,oliver,nguyen,114,mulder place,shalestone,elizabeth park,2150,vic,09,09,1919,O416,OLAVAR,N250,NGAYAN,498
rec-2782-org,thomas,carbone,94,summerville crescent,flt 45,geraldton,2229,vic,08,03,1907,T520,TAN,C615,CARBAN,2782
rec-2565-org,brigette,siviour,19,bromley street,rowethorpe,parramatta,3204,nsw,23,11,1969,B623,BRAGAT,S160,SAVAR,2565
rec-4072-org,thomas,berry,3,moruya circuit,glenview,mansfield,4077,nsw,17,09,1958,T520,TAN,B600,BARY,4072
rec-4544-org,kiera,everett,4,rohan rivett crescent,brindabella specialist centre,alice springs,5558,nsw,21,10,1937,K600,CAR,E163,EVARAT,4544
rec-1935-org,charlotte,,234,mcgee place,allandale,cranbourne,3124,vic,03,06,1931,C643,CARLAT,,,1935
rec-1684-org,gus,gissing,13,barber crescent,nyarrin cottage,tully,4151,vic,15,01,1921,G200,G,G252,GASANG,1684
rec-3603-org,isabella,tinsley,181,chewings street,sherwood,maiden gully,5039,vic,24,09,1962,I214,ISABAL,T524,TANSLY,3603
